Repository,Visibility,Size KB,Primary role in benchmark
Chronicles-of-Lumina-GameRPGwork,public,1454,Games / JavaScript evidence
Cryo-omegaTOPTIER,private,10704,Skills / architecture / governance evidence
CryoMediaPro-MediaSuite,private,41,Media / product evidence
yt-dlp-command-generator,private,8,Tooling evidence
3to5D-Hyperscale-Agi3-Platform-Alpha-state,private,16299,AI / platform evidence
Cyber-Garden-Multi,private,25,Creative systems evidence
Cryo-Marketing-Platform,private,38,Product / web evidence
libreoffice-masterclass-web,private,459,Web / documentation evidence
cryoagi3-c01-docs,private,207,Documentation evidence
CryoPCBuilderSuite,private,254,Tooling / application evidence
Nexo-Jarvis-AI-Futuristic-Assistant-Alpha,public,404,AI / assistant / TypeScript evidence
Cryodesignhub,private,1779,Design / creative systems evidence
cryo-AI-suite,private,1275,AI suite evidence
deep-space-explorer-3d,private,27,3D / creative evidence
agent-memory,public,235,Python / library / testing evidence
KiBlox-VoxelGame,public,19734,Voxel / game / 3D evidence
CryoComponents,private,122,Frontend / component evidence
Cryoplane-Polygonal-Flight,public,1434,3D / flight / TypeScript evidence
cryOS-CryBel,private,63,OS / systems evidence
ResidentLovely-Maximum-Hapiness-Game,public,1485,Game / 3D / JavaScript evidence
CryoIQ-Machala-Suite-Reflex-Trainer,private,244,Learning / reflex training evidence
Agi3-Website,private,2223,Web / AI platform evidence
Cryo-Card-V2-Cardgame,private,163,Game / UI evidence
Agi3-AI-Music-Player,private,324,AI / media evidence
Cyberdash-Rhythm-Platformer,public,2836,Game / JavaScript evidence
omega-marketing-Presentations,private,50,Presentation / communication evidence
CryoOS-ALL-ASSETS-PROJECT,private,8328,Assets / creative production evidence
cryOS,private,7,Systems / prototype evidence
CryGame-SOVEREIGNTY-Work,private,7619,Game / systems evidence
best-of,private,4890,Curation / knowledge evidence
nexus-prive-v12x,private,489,AI / application evidence
nexus-prive-v13,private,711,AI / application evidence
CryoCenter-MultimediaCenter,private,17141,Multimedia / product evidence
CryoAssets-Example,private,8328,Assets / creative evidence
kryodesk,private,1396,Productivity / application evidence
call-of-groky,public,31637,Browser game / Three.js evidence
blender-experimental,private,59114,Blender / 3D evidence
call-of-boty,public,47,Browser game / Three.js evidence
cryopg.it,private,254,Profile / website evidence
cryopg-vps,private,33381,Infrastructure / operations evidence
grok-bot,private,1124,AI / bot evidence
progress,public,42,Progress / tracking evidence
cryo-omega-master-prompts-fan-bundle,public,41,Prompt engineering evidence
CryAIPulse,public,78,AI / pulse product evidence
cryo-avatar-socials,private,34090,Brand / social assets evidence
CryoOS-Assets-Complete-Bundle,private,8337,Assets / systems evidence
futuristic-call-of-shooty,public,72,Browser game evidence
Windows11-UWP-Fluent-Learn-PWA,private,48,Learning / PWA evidence
cryo-unified-agent,private,59,Agent orchestration evidence
docs-interesting-omega,private,126,Documentation / reports evidence
call-of-chattY,public,65,AI / chat evidence
Pierreg99-Pierreg99-Profile-Page,public,190,Profile / documentation hub evidence
motion-studio,public,14,Creative web evidence
motionexample-web,private,12,Creative web evidence
